iter	MultiClass
0	1.069436671
1	1.043361214
2	1.022190933
3	1.004397407
4	0.9891750025
5	0.9761526261
6	0.9632623247
7	0.9534346038
8	0.9433060669
9	0.9347247095
10	0.9272584856
11	0.9205915286
12	0.9139615491
13	0.9080267334
14	0.9012983572
15	0.8961291074
16	0.8913056788
17	0.8861825554
18	0.8825485619
19	0.8777995971
20	0.8745364435
21	0.8705201521
22	0.8661995541
23	0.8624932323
24	0.8595385198
25	0.8566020045
26	0.85312655
27	0.8504781096
28	0.8474611272
29	0.8456400664
30	0.8428682752
31	0.839979429
32	0.8382702749
33	0.834819152
34	0.8323489562
35	0.8301883437
36	0.8279010206
37	0.8261129319
38	0.8236776901
39	0.8225214237
40	0.8198545931
41	0.8178354615
42	0.8160184692
43	0.8142788179
44	0.8123879739
45	0.810840459
46	0.808003377
47	0.8063088608
48	0.8049819592
49	0.8034663258
50	0.8017358505
51	0.8001438157
52	0.799138794
53	0.7979069411
54	0.7967861638
55	0.7953952972
56	0.7942219511
57	0.7923206319
58	0.7911343102
59	0.7903643462
60	0.789046325
61	0.787626611
62	0.7866389065
63	0.7849228055
64	0.7832646119
65	0.7821326653
66	0.7810951315
67	0.7802454858
68	0.7786845999
69	0.7776650997
70	0.7768246931
71	0.7761487655
72	0.7752401913
73	0.7740898189
74	0.7735005302
75	0.772609364
76	0.7718405978
77	0.7707724896
78	0.7696034835
79	0.7690529111
80	0.7680380555
81	0.7671795423
82	0.7661264809
83	0.7655494006
84	0.7646778822
85	0.7637182595
86	0.7628547295
87	0.7620400076
88	0.7611564291
89	0.7602503627
90	0.7595301372
91	0.7585468999
92	0.7579066569
93	0.7570220332
94	0.7565008371
95	0.7557912715
96	0.7547635124
97	0.753900346
98	0.7533142999
99	0.7528152712
100	0.7523019387
101	0.751597836
102	0.7512196671
103	0.7506361268
104	0.7499211795
105	0.7492613073
106	0.7485649237
107	0.7481871702
108	0.7475819344
109	0.7470735599
110	0.7462192433
111	0.7455875554
112	0.7450001995
113	0.7444951838
114	0.7436105412
115	0.7428715306
116	0.7425183617
117	0.7419259343
118	0.7412189754
119	0.7408470579
120	0.740228102
121	0.7393885707
122	0.7388798497
123	0.7376268761
124	0.7367666558
125	0.7361772995
126	0.7354423368
127	0.7344806122
128	0.7338204436
129	0.7332364703
130	0.7326143751
131	0.7320872016
132	0.7314676403
133	0.7307720486
134	0.7302342216
135	0.7297017215
136	0.7284934909
137	0.7281689154
138	0.7277588838
139	0.7272045796
140	0.7265583427
141	0.7259529669
142	0.7253140079
143	0.7247141729
144	0.7241616162
145	0.7236978704
146	0.7228966398
147	0.7224586007
148	0.721666422
149	0.72119933
150	0.7204864846
151	0.7199123462
152	0.7190043284
153	0.7185386932
154	0.7179671826
155	0.7175244968
156	0.7170540198
157	0.7165128081
158	0.7160246923
159	0.7155780275
160	0.7150711203
161	0.7143519463
162	0.7137774413
163	0.7133772504
164	0.7129121611
165	0.7124030292
166	0.7119367943
167	0.7115549019
168	0.7112194919
169	0.7104817597
170	0.71003422
171	0.7096165743
172	0.7088853672
173	0.7085068389
174	0.7082448933
175	0.7078877637
176	0.7075595942
177	0.7067402717
178	0.7061604635
179	0.7054461887
180	0.7046550098
181	0.7041559178
182	0.7035784599
183	0.7033189729
184	0.7027235795
185	0.7025005519
186	0.7020330914
187	0.7016263797
188	0.7013505372
189	0.7008241643
190	0.700260218
191	0.6998464877
192	0.6993346837
193	0.6988437082
194	0.6984767029
195	0.6980103901
196	0.6978154226
197	0.6974448852
198	0.6971362482
199	0.6965882084
200	0.696298405
201	0.6957678558
202	0.6954393
203	0.6949773825
204	0.6943379087
205	0.6939538139
206	0.6934980297
207	0.6931743321
208	0.6928733145
209	0.6922770083
210	0.6918698775
211	0.6914285142
212	0.6909330931
213	0.6904588218
214	0.6901245624
215	0.6895277011
216	0.6891683495
217	0.6888414315
218	0.6883361235
219	0.6878874318
220	0.6875954391
221	0.687182192
222	0.6867378156
223	0.6864108225
224	0.685880626
225	0.6853728921
226	0.6848560274
227	0.6845936158
228	0.6841374394
229	0.6839413855
230	0.6834889492
231	0.6831397291
232	0.6827676192
233	0.6823986465
234	0.6820550551
235	0.6815505575
236	0.6814202975
237	0.6809505215
238	0.6805440212
239	0.6801321057
240	0.6799741744
241	0.6796399032
242	0.6790726913
243	0.6786047251
244	0.6782264328
245	0.6777393707
246	0.6775201621
247	0.6772539384
248	0.6767582594
249	0.6763966854
250	0.67606421
251	0.6757468861
252	0.6753400729
253	0.6749735359
254	0.6747558727
255	0.6744178521
256	0.6738390327
257	0.6734332355
258	0.6730986422
259	0.6728661504
260	0.6722828655
261	0.6718034308
262	0.6715138529
263	0.671174818
264	0.670653181
265	0.6702373191
266	0.6697131161
267	0.6692243269
268	0.6689510246
269	0.6687024974
270	0.6683495742
271	0.6680970808
272	0.6677752307
273	0.6674018607
274	0.6671699884
275	0.6669932603
276	0.6667987972
277	0.6663046291
278	0.66607676
279	0.6656140713
280	0.6653316395
281	0.6650124327
282	0.664708515
283	0.6643257799
284	0.6640137849
285	0.6636500966
286	0.6632595544
287	0.6629225868
288	0.6627731221
289	0.6625017423
290	0.6621516287
291	0.661708224
292	0.6613513448
293	0.6609741013
294	0.6606251661
295	0.6602984144
296	0.6600314848
297	0.6594972188
298	0.6591815702
299	0.6586961946
300	0.6583819422
301	0.6582484017
302	0.6577384376
303	0.6571767172
304	0.6568870774
305	0.6563861304
306	0.6557312376
307	0.6554230845
308	0.6548783503
309	0.6545228736
310	0.6542422094
311	0.6540696218
312	0.6535737063
313	0.6532596409
314	0.652946019
315	0.6527895155
316	0.6525183584
317	0.6522905965
318	0.6520250958
319	0.6516967578
320	0.6512278449
321	0.6509122434
322	0.6506473555
323	0.650380462
324	0.6501379628
325	0.6498603883
326	0.6496592456
327	0.6493899115
328	0.6491601373
329	0.64884455
330	0.6484625682
331	0.6481660384
332	0.6479158666
333	0.6476848532
334	0.6473808313
335	0.6469209431
336	0.6467300234
337	0.6463238166
338	0.6460893992
339	0.6458993017
340	0.6454505323
341	0.6451616654
342	0.6449899905
343	0.6447138078
344	0.6444443029
345	0.6443275277
346	0.644091014
347	0.6438666975
348	0.6434228001
349	0.6431591418
350	0.6430090387
351	0.6427876974
352	0.6424208863
353	0.6422070584
354	0.6417760945
355	0.6413889012
356	0.6411574463
357	0.6409624175
358	0.6406893872
359	0.6404779243
360	0.6399902602
361	0.6398082027
362	0.6394041985
363	0.63922642
364	0.6389475802
365	0.6386668327
366	0.6384004796
367	0.6381924472
368	0.6379070704
369	0.6376719875
370	0.6373132674
371	0.6370311692
372	0.6368505179
373	0.636537219
374	0.6361831985
375	0.6359806501
376	0.6356456674
377	0.6353866392
378	0.6351150967
379	0.6349689532
380	0.6346886809
381	0.6344524771
382	0.634156527
383	0.633700202
384	0.633268263
385	0.6329752258
386	0.6326317941
387	0.6323329792
388	0.6320509675
389	0.6316818218
390	0.6315594067
391	0.6313733678
392	0.6309445842
393	0.6305748481
394	0.6301476665
395	0.6298672642
396	0.6294186859
397	0.6292538339
398	0.6290082184
399	0.6288680475
400	0.628620782
401	0.6283190975
402	0.6280218849
403	0.6276530661
404	0.627339159
405	0.6271717562
406	0.6269571775
407	0.626724521
408	0.6261770308
409	0.6259690159
410	0.6257810883
411	0.6254847335
412	0.6251365936
413	0.6247241518
414	0.6245332854
415	0.6243252338
416	0.6240711702
417	0.6236642151
418	0.6234879172
419	0.6232089961
420	0.6229494648
421	0.6227836007
422	0.622467218
423	0.6221776078
