iter	Passed	Remaining
0	65	65424
1	68	34026
2	71	23616
3	73	18407
4	76	15290
5	79	13198
6	82	11697
7	85	10606
8	89	9810
9	92	9112
10	94	8503
11	97	7989
12	99	7573
13	102	7226
14	105	6921
15	108	6644
16	110	6401
17	113	6179
18	115	5981
19	118	5803
20	121	5651
21	123	5500
22	126	5360
23	128	5237
24	131	5134
25	134	5028
26	136	4931
27	139	4835
28	142	4755
29	144	4675
30	147	4601
31	150	4538
32	152	4469
33	155	4406
34	157	4350
35	160	4300
36	163	4249
37	165	4198
38	168	4151
39	171	4104
40	173	4059
41	176	4020
42	178	3982
43	181	3942
44	184	3905
45	186	3875
46	189	3844
47	192	3812
48	194	3781
49	197	3749
50	200	3725
51	202	3695
52	205	3668
53	207	3639
54	210	3609
55	212	3586
56	215	3567
57	218	3546
58	221	3525
59	223	3508
60	226	3486
61	229	3467
62	232	3450
63	234	3433
64	237	3413
65	239	3394
66	242	3378
67	245	3362
68	247	3344
69	250	3330
70	253	3314
71	256	3301
72	258	3282
73	261	3269
74	263	3253
75	266	3237
76	268	3224
77	271	3208
78	274	3194
79	276	3180
80	279	3169
81	282	3157
82	284	3147
83	287	3135
84	290	3122
85	292	3112
86	295	3101
87	298	3090
88	300	3079
89	303	3070
90	306	3061
91	308	3049
92	311	3040
93	314	3030
94	317	3020
95	319	3010
96	322	3000
97	325	2991
98	327	2982
99	330	2973
100	332	2962
101	335	2954
102	339	2954
103	342	2949
104	345	2941
105	347	2931
106	350	2923
107	352	2915
108	355	2908
109	358	2900
110	361	2897
111	364	2889
112	366	2879
113	369	2872
114	372	2862
115	374	2856
116	377	2848
117	380	2840
118	382	2833
119	385	2824
120	387	2817
121	390	2809
122	392	2801
123	395	2793
124	397	2784
125	400	2777
126	403	2770
127	405	2765
128	408	2759
129	411	2753
130	414	2746
131	416	2738
132	419	2732
133	421	2726
134	424	2719
135	427	2713
136	429	2706
137	432	2698
138	434	2693
139	437	2688
140	440	2683
141	443	2677
142	445	2672
143	448	2665
144	450	2659
145	453	2652
146	456	2647
147	458	2641
148	461	2634
149	463	2628
150	466	2621
151	468	2616
152	471	2609
153	473	2602
154	476	2596
155	478	2590
156	481	2585
157	484	2580
158	487	2577
159	490	2573
160	493	2572
161	497	2570
162	499	2567
163	502	2562
164	505	2558
165	508	2552
166	510	2547
167	513	2541
168	515	2536
169	518	2533
170	523	2536
171	525	2531
172	528	2527
173	531	2522
174	534	2518
175	536	2512
176	539	2507
177	541	2502
178	544	2497
179	547	2491
180	549	2486
181	552	2482
182	555	2478
183	557	2473
184	560	2469
185	563	2464
186	565	2459
187	568	2454
188	570	2449
189	573	2443
190	575	2437
191	578	2432
192	580	2428
193	583	2422
194	585	2417
195	588	2412
196	590	2408
197	593	2402
198	595	2398
199	598	2394
200	600	2388
201	603	2384
202	605	2379
203	608	2374
204	611	2371
205	614	2367
206	617	2364
207	619	2359
208	622	2355
209	625	2351
210	627	2347
211	630	2342
212	632	2337
213	635	2335
214	638	2331
215	641	2327
216	643	2323
217	646	2318
218	649	2314
219	651	2309
220	654	2306
221	656	2301
222	659	2298
223	662	2294
224	665	2290
225	667	2287
226	670	2284
227	673	2279
228	676	2276
229	678	2272
230	681	2268
231	684	2264
232	686	2260
233	689	2256
234	692	2253
235	694	2249
236	697	2246
237	700	2242
238	703	2238
239	705	2234
240	708	2230
241	711	2227
242	714	2224
243	716	2220
244	719	2217
245	722	2214
246	724	2210
247	727	2206
248	730	2203
249	733	2199
250	735	2194
251	737	2190
252	740	2186
253	743	2183
254	746	2179
255	748	2175
256	751	2172
257	753	2168
258	756	2164
259	758	2159
260	762	2157
261	765	2155
262	768	2153
263	771	2150
264	774	2147
265	777	2144
266	779	2141
267	782	2138
268	785	2135
269	788	2132
270	792	2130
271	795	2128
272	797	2124
273	800	2122
274	803	2118
275	806	2116
276	809	2113
277	812	2111
278	816	2109
279	819	2106
280	822	2104
281	825	2102
282	828	2099
283	831	2095
284	834	2092
285	837	2089
286	840	2087
287	843	2084
288	845	2080
289	848	2078
290	851	2075
291	855	2073
292	858	2070
293	861	2068
294	864	2065
295	867	2063
296	870	2060
297	873	2057
298	876	2055
299	879	2052
300	882	2049
301	885	2046
302	888	2043
303	891	2041
304	894	2038
305	897	2035
306	900	2033
307	903	2030
308	906	2027
309	909	2024
310	912	2021
311	915	2018
312	918	2015
313	921	2013
314	924	2010
315	927	2007
316	930	2004
317	933	2002
318	936	2000
319	939	1997
320	942	1994
321	946	1992
322	949	1990
323	952	1987
324	955	1984
325	958	1981
326	961	1978
327	964	1976
328	967	1973
329	970	1970
330	973	1967
331	976	1964
332	979	1961
333	981	1958
334	984	1955
335	987	1952
336	990	1949
337	993	1946
338	996	1943
339	1000	1941
340	1003	1938
341	1006	1935
342	1008	1932
343	1011	1929
344	1014	1926
345	1017	1923
346	1020	1920
347	1023	1918
348	1027	1915
349	1030	1912
350	1033	1910
351	1036	1907
352	1038	1904
353	1041	1901
354	1044	1897
355	1047	1895
356	1050	1892
357	1053	1889
358	1057	1887
359	1060	1885
360	1063	1881
361	1065	1878
362	1068	1874
363	1071	1871
364	1074	1868
365	1076	1865
366	1079	1861
367	1082	1859
368	1085	1856
369	1088	1852
370	1090	1849
371	1093	1846
372	1096	1843
373	1099	1839
374	1101	1835
375	1104	1832
376	1107	1829
377	1109	1826
378	1112	1822
379	1115	1819
380	1118	1816
381	1121	1814
382	1123	1810
383	1126	1807
384	1129	1803
385	1132	1801
386	1135	1797
387	1137	1794
388	1140	1791
389	1142	1787
390	1145	1784
391	1148	1781
392	1151	1778
393	1153	1774
394	1156	1771
395	1159	1768
396	1161	1764
397	1164	1761
398	1167	1758
399	1169	1754
400	1172	1751
401	1175	1748
402	1177	1744
403	1180	1741
404	1183	1738
405	1185	1734
406	1188	1731
407	1190	1727
408	1193	1724
409	1196	1721
410	1199	1718
411	1201	1715
412	1204	1711
413	1207	1708
414	1210	1705
415	1212	1702
416	1215	1698
417	1217	1695
418	1220	1692
419	1223	1689
420	1225	1685
