source_table,object_id,host_id,disposition,period_days,duration_hours,depth_ppm,planet_radius_rearth,stellar_teff,stellar_radius_solar,stellar_logg
KOI,K00752.01,10797460,CONFIRMED,9.48803557,2.9575,615.8,2.26,5455.0,0.927,4.467
KOI,K00752.02,10797460,CONFIRMED,54.4183827,4.507,874.8,2.83,5455.0,0.927,4.467
KOI,K00753.01,10811496,CANDIDATE,19.89913995,1.7822,10829.0,14.6,5853.0,0.868,4.544
KOI,K00755.01,10854555,CONFIRMED,2.525591777,1.6545,603.3,2.75,6031.0,1.046,4.438
KOI,K00756.01,10872983,CONFIRMED,11.09432054,4.5945,1517.5,3.9,6046.0,0.972,4.486
KOI,K00756.02,10872983,CONFIRMED,4.13443512,3.1402,686.0,2.77,6046.0,0.972,4.486
KOI,K00756.03,10872983,CONFIRMED,2.56658897,2.429,226.5,1.59,6046.0,0.972,4.486
KOI,K00757.01,10910878,CONFIRMED,16.06864674,3.5347,4914.3,5.76,5031.0,0.848,4.485
KOI,K00001.01,11446443,CONFIRMED,2.470613377,1.74319,14231.0,13.04,5820.0,0.964,4.457
KOI,K00002.01,10666592,CONFIRMED,2.204735417,3.88864,6674.7,16.1,6440.0,1.952,4.019
KOI,K00010.01,6922244,CONFIRMED,3.522498429,3.19843,9145.7,14.59,6225.0,1.451,4.169
KOI,K00112.02,10984090,CONFIRMED,3.709214104,2.6302,131.1,1.16,5833.0,1.022,4.407
KOI,K00743.01,10464078,FALSE POSITIVE,19.40393776,12.2155,8918.7,7.18,5043.0,0.68,4.591
KOI,K00745.01,10485250,FALSE POSITIVE,16.46983774,9.4378,10479.0,7.94,5152.0,0.786,4.517
KOI,K00746.01,10526549,CONFIRMED,9.27358173,3.2875,1288.3,2.47,4856.0,0.696,4.583
KOI,K00747.01,10583066,CONFIRMED,6.02930329,1.5821,1912.7,2.85,4537.0,0.672,4.648
KOI,K00748.01,10583180,FALSE POSITIVE,2.696370652,3.6129,397.9,1.58,4989.0,0.819,4.504
KOI,K00749.01,10601284,CONFIRMED,5.349553819,3.0278,831.0,2.55,5185.0,0.91,4.44
KOI,K00749.02,10601284,CONFIRMED,3.94105221,2.5984,363.3,1.7,5185.0,0.91,4.44
