period_days,duration_hours,depth_ppm,planet_radius_rearth,stellar_teff,stellar_radius_solar,stellar_logg,disposition
9.48803557,2.9575,615.8,2.26,5455.0,0.927,4.467,2
54.4183827,4.507,874.8,2.83,5455.0,0.927,4.467,2
19.89913995,1.7822,10829.0,14.6,5853.0,0.868,4.544,1
2.525591777,1.6545,603.3,2.75,6031.0,1.046,4.438,2
11.09432054,4.5945,1517.5,3.9,6046.0,0.972,4.486,2
4.13443512,3.1402,686.0,2.77,6046.0,0.972,4.486,2
2.56658897,2.429,226.5,1.59,6046.0,0.972,4.486,2
16.06864674,3.5347,4914.3,5.76,5031.0,0.848,4.485,2
2.470613377,1.74319,14231.0,13.04,5820.0,0.964,4.457,2
2.204735417,3.88864,6674.7,16.1,6440.0,1.952,4.019,2
3.522498429,3.19843,9145.7,14.59,6225.0,1.451,4.169,2
3.709214104,2.6302,131.1,1.16,5833.0,1.022,4.407,2
19.40393776,12.2155,8918.7,7.18,5043.0,0.68,4.591,0
16.46983774,9.4378,10479.0,7.94,5152.0,0.786,4.517,0
9.27358173,3.2875,1288.3,2.47,4856.0,0.696,4.583,2
6.02930329,1.5821,1912.7,2.85,4537.0,0.672,4.648,2
2.696370652,3.6129,397.9,1.58,4989.0,0.819,4.504,0
5.349553819,3.0278,831.0,2.55,5185.0,0.91,4.44,2
3.94105221,2.5984,363.3,1.7,5185.0,0.91,4.44,2
8.10904807,3.596,217.4,1.3,5185.0,0.91,4.44,2
21.67699193,3.4555,857.2,2.95,4954.0,0.828,4.5,2
4.99677968,2.1717,934.7,2.78,5339.0,0.847,4.552,2
4.280963604,2.875,750.8,2.3,5644.0,0.831,4.564,2
1.50635409,1.5155,2211.7,4.53,5714.0,0.831,4.563,0
670.645531,53.412,18091.0,14.14,5520.0,0.983,4.466,0
38.3775486,5.588,724.2,2.82,5481.0,1.036,4.369,2
41.19725502,4.6297,2213.9,3.86,5031.0,0.848,4.485,2
6.252962249,2.5819,1036.9,2.65,5031.0,0.848,4.485,2
16.01308419,3.2554,1121.9,3.1,5015.0,0.826,4.499,2
32.62876672,4.7971,1804.8,3.36,5586.0,0.798,4.56,2
91.7732862,6.473,652.0,2.12,5586.0,0.798,4.56,2
4.959319244,2.22739,9802.0,12.21,5712.0,1.082,4.359,2
2.701287801,3.3827,860.4,6.54,5550.0,0.91,4.468,0
4.49876511,3.7362,460.0,2.1,6075.0,0.969,4.486,2
19.651209505,5.2514,11766.0,12.42,6074.0,1.063,4.391,0
5.412203927,2.9472,601.6,2.94,5779.0,1.087,4.339,2
41.43958662,10.5989,2793.1,5.5,5468.0,1.046,4.367,2
8.35389523,2.2514,1041.6,2.52,5592.0,0.787,4.582,2
4.125543472,3.1744,1487.3,4.43,6174.0,1.103,4.417,2
2.816504904,2.50587,16814.0,12.21,5532.0,0.955,4.452,2
33.93373447,14.561,8503.7,7.34,5040.0,0.705,4.628,0
3.689920099,2.6557,426.7,1.89,5880.0,0.917,4.518,2
4.431238488,3.15,1010.9,3.25,5714.0,1.015,4.428,2
11.37936986,2.6255,1023.5,3.95,5714.0,1.015,4.428,2
26.39432897,3.573,1510.9,3.07,5129.0,0.763,4.595,2
13.57078281,3.3539,511.7,2.64,5854.0,1.012,4.406,2
7.12594387,3.0014,192.4,1.79,5779.0,1.087,4.339,2
7.442652004,2.3078,24446.0,15.03,6108.0,0.956,4.469,0
16.38489988,3.0249,1127.1,2.0,4126.0,0.615,4.661,2
7.8774163,2.0805,1306.1,2.16,4126.0,0.615,4.661,2
36.4454001,4.007,1122.3,1.99,4126.0,0.615,4.661,2
3.728732147,2.683,5226.5,6.02,5497.0,0.809,4.577,2
40.4195037,3.362,6256.0,7.51,5446.0,0.781,4.507,1
